ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
recife_pos_0058_929c225bb529daec,1,0.383,0.2845,0.4832,rain_decay_index_api_chirps,-0.6021,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0059_d9b4be6cee9c9808,1,0.5087,0.3414,0.6667,rain_decay_index_api_chirps,-0.7871,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0060_50652a81597b6513,1,0.8234,0.7269,0.9068,rain_decay_index_api_chirps,0.8611,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0061_5bf1b92ed537658c,1,0.9745,0.912,0.9957,rain_decay_index_api_chirps,2.68,REC_00526,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0062_ae79f745ee4db389,1,0.5972,0.5241,0.6805,twi_dinf,0.191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0063_f09b1138c2b96609,1,0.5972,0.5241,0.6805,twi_dinf,0.191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0064_ca0a6d0ec1091c25,1,0.5972,0.5241,0.6805,twi_dinf,0.191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0065_d15634367b6279f3,1,0.5581,0.3996,0.7066,rain_decay_index_api_chirps,-0.5067,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0066_6eade3f53459865c,1,0.4513,0.3679,0.5416,elevation_m,-0.2123,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0067_1a25d17fadf89cfb,1,0.7116,0.5187,0.8703,twi_dinf,0.9469,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0068_5d18070be7cab26d,1,0.7116,0.5187,0.8703,twi_dinf,0.9469,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0069_02bb789d97103be9,1,0.7116,0.5187,0.8703,twi_dinf,0.9469,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0070_5945447cda68be08,1,0.4513,0.3679,0.5416,elevation_m,-0.2123,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
