ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
NOVONEG_V9_BAIRRO_084,0,0.3685,0.2438,0.4846,rain_decay_index_api_chirps,-0.7179,REC_NEG_00007,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_085,0,0.5604,0.4188,0.71,twi_dinf,-0.3226,REC_00505,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_086,0,0.324,0.2362,0.4082,rain_decay_index_api_chirps,-0.5368,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_087,0,0.7088,0.5254,0.8555,elevation_m,0.52,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0001,1,0.9027,0.8002,0.9667,rain_decay_index_api_chirps,1.5895,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0002,1,0.855,0.7191,0.9539,rain_decay_index_api_chirps,1.7669,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0003,1,0.9537,0.8718,0.9892,rain_decay_index_api_chirps,1.7826,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0004,1,0.8663,0.7639,0.944,rain_decay_index_api_chirps,1.7669,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0005,1,0.8771,0.7739,0.9515,rain_decay_index_api_chirps,1.784,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0006,1,0.8578,0.7505,0.9436,rain_decay_index_api_chirps,1.784,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0007,1,0.861,0.7543,0.9454,rain_decay_index_api_chirps,1.784,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADA_2022_0008,1,0.8878,0.7758,0.962,rain_decay_index_api_chirps,1.7669,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
LEADC_2008_0001,1,0.5928,0.503,0.7012,elevation_m,-0.2594,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
