Tipo,Orgao,DataCriacao,Assunto,Subdivisao,Situacao,Logradouro,Bairro,Regional,DataResposta,Origem,source_year
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Rutildo Pulido,CAJURU,Unidade Regional Cajuru,27/11/2023,Chat,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,05/12/2023,Drenagem,Alagamentos,Concluído,RUA ODILON NEGRÃO,SANTA FELICIDADE,Unidade Regional Santa Felicidade,,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,20/11/2023,Drenagem,Alagamentos,Concluído,Rua Ana Berta Roskamp,JARDIM DAS AMERICAS,Unidade Regional Cajuru,23/11/2023,Portal,2023
Denúncia,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Flávio Dallegrave,ALTO DA RUA XV,Unidade Regional Matriz,04/01/2024,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,30/11/2023,Drenagem,Alagamentos,Concluído,Avenida Manoel Ribas,BUTIATUVINHA,Unidade Regional Santa Felicidade,10/04/2024,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/11/2023,Drenagem,Alagamentos,Concluído,RUA AUGUSTO DOS ANJOS,BARREIRINHA,Unidade Regional Boa Vista,05/12/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,23/11/2023,Drenagem,Alagamentos,Concluído,RUA NUNES MACHADO,REBOUCAS,Unidade Regional Matriz,13/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Maria Gusso Sforza,PILARZINHO,Unidade Regional Boa Vista,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,12/10/2023,Drenagem,Alagamentos,Concluído,Rua Dante Honório,XAXIM,Unidade Regional Boqueirao,19/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,RUA RODRIGO FAIÇAL ZENI,CIDADE INDUSTRIAL,Unidade Regional CIC,24/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,04/12/2023,Drenagem,Alagamentos,Concluído,RUA FLÁVIO DALLEGRAVE,BARREIRINHA,Unidade Regional Boa Vista,04/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,12/08/2023,Drenagem,Alagamentos,Concluído,RUA DOUTOR BRASÍLIO FERREIRA DA LUZ,JARDIM DAS AMERICAS,Unidade Regional Cajuru,14/08/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA DAS CARMELITAS,BOQUEIRAO,Unidade Regional Boqueirao,27/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,25/12/2023,Drenagem,Alagamentos,Concluído,Rua Tenente Antônio Emílio Vaz Lobo,TATUQUARA,Unidade Regional Tatuquara,09/01/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,30/10/2023,Drenagem,Alagamentos,Concluído,RUA MARIA GABARDO DORIGO,GANCHINHO,Unidade Regional Bairro Novo,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA JOAQUIM DE FREITAS,BOQUEIRAO,Unidade Regional Boqueirao,28/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,28/10/2023,Drenagem,Alagamentos,Concluído,Rua Amilton Dalledone,SAO LOURENCO,Unidade Regional Boa Vista,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,17/01/2023,Drenagem,Alagamentos,Concluído,RUA PROFESSOR FÁBIO DE SOUZA,PORTAO,Unidade Regional Portao,27/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/01/2023,Drenagem,Alagamentos,Concluído,RUA ANTONIO BOZA,SITIO CERCADO,Unidade Regional Bairro Novo,28/02/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,06/12/2023,Drenagem,Alagamentos,Concluído,RUA BARTOLOMEU LOURENÇO DE GUSMÃO,BOQUEIRAO,Unidade Regional Boqueirao,11/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,27/04/2023,Drenagem,Alagamentos,Concluído,RUA JURANT CVINTAL,BUTIATUVINHA,Unidade Regional Santa Felicidade,03/05/2023,Telefone,2023
