janela_id,data_criacao,tipo,orgao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,bairro_esperado,arquivo_fonte,consulta_geocodificacao,nivel_confianca,lat,lon,nominatim_nome_exibicao,osm_class,osm_type,osm_id,motivo_geocodificacao,hand_m,hand_m_status,crs,tamanho_pixel_m,twi,twi_status,slope_deg,slope_deg_status,hand_m_regional_percentile,twi_regional_percentile,slope_deg_median_regional,twi_median_regional,dist_drenagem_m,assinatura_enchente_plausivel,status_adjudicacao
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CATARINA GOOSSEN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA CATARINA GOOSSEN, XAXIM, Curitiba, PR, Brasil",strong,-25.5126083,-49.2701899,"Rua Catarina Goosen, Xaxim, Curitiba, Paraná, Região Sul, 81830-020, Brasil",,residential,85019677,,7.585,OK,EPSG:31982,10.0,6.6307,OK,4.7825,OK,45.4,52.4,3.552,6.5254,92.2,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA IZIDORO STAVITZKI,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA IZIDORO STAVITZKI, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.5239897,-49.2723663,"Rua Izidoro Stavitzki, Pinheirinho, Curitiba, Paraná, Região Sul, 81825-300, Brasil",,residential,128988839,,1.2649,OK,EPSG:31982,10.0,9.1449,OK,0.2775,OK,16.0,85.3,3.552,6.5254,133.4,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA HELCIO DA CUNHA AJUZ,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA HELCIO DA CUNHA AJUZ, XAXIM, Curitiba, PR, Brasil",strong,-25.4996684,-49.2610393,"Rua Helcio da Cunha Ajuz, Xaxim, Curitiba, Paraná, Região Sul, 81710-380, Brasil",,residential,84883108,,8.0007,OK,EPSG:31982,10.0,5.8559,OK,8.0454,OK,46.8,33.1,3.552,6.5254,99.0,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Humberto Higino Parolin,XAXIM,Unidade Regional Boqueirao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Humberto Higino Parolin, XAXIM, Curitiba, PR, Brasil",strong,-25.4960333,-49.265674,"Rua Humberto Higino Parolin, Xaxim, Curitiba, Paraná, Região Sul, 81710-210, Brasil",,residential,84881052,,15.4728,OK,EPSG:31982,10.0,7.0362,OK,5.0696,OK,70.1,60.5,3.552,6.5254,230.2,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Professor Ulisses Vieira,PORTAO,Unidade Regional Portao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Professor Ulisses Vieira, PORTAO, Curitiba, PR, Brasil",strong,-25.4604099,-49.2995982,"Rua Professor Ulisses Vieira, Portão, Curitiba, Paraná, Região Sul, 80320-120, Brasil",,tertiary,698981471,,5.6531,OK,EPSG:31982,10.0,8.7536,OK,1.2881,OK,38.5,82.4,3.552,6.5254,116.6,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Dante Honório,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Dante Honório, XAXIM, Curitiba, PR, Brasil",strong,-25.5101598,-49.2708732,"Rua Dante Honório, Xaxim, Curitiba, Paraná, Região Sul, 81810-150, Brasil",,residential,85019720,,0.5283,OK,EPSG:31982,10.0,6.1024,OK,1.8234,OK,9.5,39.6,3.552,6.5254,10.0,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA GENERAL MARIO TOURINHO,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-04.csv,"RUA GENERAL MARIO TOURINHO, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4466957,-49.3048161,"Rua General Mário Tourinho, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,primary,553259276,,2.4687,OK,EPSG:31982,10.0,4.4057,OK,9.1786,OK,24.0,2.6,3.552,6.5254,10.0,False,LIDO
CUR_2025_02_18,18/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA TIBAGI,CENTRO,Unidade Regional Matriz,Telefone,True,/tmp/curitiba_run/siac156_2025-02-19.csv,"RUA TIBAGI, CENTRO, Curitiba, PR, Brasil",strong,-25.4332137,-49.2622903,"Rua Tibagi, Centro, Curitiba, Paraná, Região Sul, 80060-110, Brasil",,secondary,380939621,,0.0,OK,EPSG:31982,10.0,15.1045,OK,0.2538,OK,2.1,98.7,3.552,6.5254,0.0,True,LIDO
CUR_2025_02_18,18/02/2025,Solicitação,Secretaria Municipal de Obras Públicas,Drenagem,Alagamentos,Aberto,RUA TIBAGI,CENTRO,Unidade Regional Matriz,Telefone,True,/tmp/curitiba_run/siac156_2025-02-19.csv,"RUA TIBAGI, CENTRO, Curitiba, PR, Brasil",strong,-25.4332137,-49.2622903,"Rua Tibagi, Centro, Curitiba, Paraná, Região Sul, 80060-110, Brasil",,secondary,380939621,,0.0,OK,EPSG:31982,10.0,15.1045,OK,0.2538,OK,2.1,98.7,3.552,6.5254,0.0,True,LIDO
CUR_2026_02_03,03/02/2026,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Laércio Nakashima,UBERABA,Unidade Regional Cajuru,Telefone,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Rua Laércio Nakashima, UBERABA, Curitiba, PR, Brasil",strong,-25.49658,-49.2036207,"Rua Laércio Nakashima, Vila Jardim Icaray, Uberaba, Curitiba, Paraná, Região Sul, 81560-615, Brasil",,residential,125624693,,0.364,OK,EPSG:31982,10.0,6.6169,OK,2.1273,OK,7.9,52.1,3.552,6.5254,182.5,True,LIDO
CUR_2026_02_03,03/02/2026,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA RICHARD WAGNER,VISTA ALEGRE,Unidade Regional Santa Felicidade,Telefone,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"RUA RICHARD WAGNER, VISTA ALEGRE, Curitiba, PR, Brasil",strong,-25.4049077,-49.2838145,"Rua Richard Wagner, Vista Alegre, Curitiba, Paraná, Região Sul, 80820-240, Brasil",,residential,995308944,,3.1273,OK,EPSG:31982,10.0,6.3373,OK,4.5541,OK,27.7,45.6,3.552,6.5254,14.1,False,LIDO
CUR_2026_02_03,03/02/2026,Reclamação,Secretaria do Governo Municipal,Drenagem,Alagamentos,Aberto,Júlio Wischral,UBERABA,Unidade Regional Cajuru,Portal,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Júlio Wischral, UBERABA, Curitiba, PR, Brasil",strong,-25.4741294,-49.2234054,"Rua Júlio Wischral, Uberaba, Curitiba, Paraná, Região Sul, 81540-590, Brasil",,residential,125389841,,27.1567,OK,EPSG:31982,10.0,5.6221,OK,4.911,OK,91.5,26.7,3.552,6.5254,140.4,False,LIDO
CUR_2026_02_03,03/02/2026,Denúncia,Secretaria Municipal de Obras Públicas,Drenagem,Alagamentos,Aberto,Emiliano Perneta,CENTRO,Unidade Regional Matriz,Portal,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Emiliano Perneta, CENTRO, Curitiba, PR, Brasil",medium,-25.4259223,-49.2673244,"Emiliano Perneta, Ciclovia Parque São Lourenço - Passeio Público, Centro, Curitiba, Paraná, Região Sul, 80020-290, Brasil",,artwork,10313024482,,1.5896,OK,EPSG:31982,10.0,9.9147,OK,0.0557,OK,18.3,89.6,3.552,6.5254,90.6,True,LIDO
