window_id,data_criacao,tipo,orgao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,bairro_esperado,source_file
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Etiópia,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA 25 DE AGOSTO,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA MAESTRO FRANCISCO ANTONELLO,NOVO MUNDO,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Rosa Tortato,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA DOLORES DURAN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CONDE DOS ARCOS,LINDOIA,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA ARAGUAIA,CAPAO DA IMBUIA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA PAULO SETUBAL,HAUER,Unidade Regional Boqueirao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CAJA-MANGA,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA CARLOS DE LAET,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Deputado Heitor Alencar Furtado,CAMPINA DO SIQUEIRA,Unidade Regional Santa Felicidade,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,VILA IZABEL,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,Drenagem,Alagamentos,Aberto,Oyapock,CRISTO REI,Unidade Regional Matriz,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA PADRE ESTANISLAU PIASECKI,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA IZIDORO STAVITZKI,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Tenente Tito Teixeira de Castro,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,Drenagem,Alagamentos,Aberto,Martim Afonso,SAO FRANCISCO,Unidade Regional Matriz,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Denúncia,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rosamélia de Oliveira,CAMPO COMPRIDO,Unidade Regional Portao,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA JOAO NOGAROLLI,FANNY,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Nagib da Silva,CAJURU,Unidade Regional Cajuru,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Laurentino Rosa Dos Santos,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA DA DIVINA PROVIDÊNCIA,SANTA QUITERIA,Unidade Regional Portao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Monsenhor Dunand,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA DA REPÚBLICA,PAROLIN,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA OSCAR WILDE,LINDOIA,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Avenida Henry Ford,LINDOIA,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Denúncia,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Brasília,NOVO MUNDO,Unidade Regional Pinheirinho,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Oscar Wilde,LINDOIA,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Marcílio Dias,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CATARINA GOOSSEN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
